Date,Zoom,Study,Sleep,Water Bottle,Listening music,Day ,Happiness,Steps
08-01-2024,3,1,6,3,0,Happy,5,15990
09-01-2024,3,2,6,2,1,Average,4,10185
10-01-2024,6,1,5,4,0,Busy,2,6047
11-01-2024,6,2,5,5,0,Sad,2,8193
12-01-2024,2,4,7,7,1,Average,4,6000
13-01-2024,0,0,8,2,1,Sad,1,7000
14-01-2024,0,2,8,6,1,Happy,5,7330
15-01-2024,3,1,6,6,1,Sad,3,12711
16-01-2024,3,3,6,4,1,Average,3,7212
17-01-2024,6,0,4,8,1,Busy,3,6249
18-01-2024,6,0,5,8,0,Busy,3,8114
19-01-2024,2,5,6,4,1,Happy,5,5181
20-01-2024,0,4,8,3,1,Happy,5,3982
21-01-2024,0,4,9,3,1,Sad,4,3341
22-01-2024,3,1,7,2,1,Sad,3,8520
23-01-2024,3,1,7,4,0,Average,4,4148
24-01-2024,6,0,5,6,1,Happy,4,4000
25-01-2024,6,1,5,4,1,Sad,3,5748
26-01-2024,2,2,8,5,0,Happy,5,10133
27-01-2024,0,1,9,3,1,Happy,5,8270
28-01-2024,0,3,8,2,0,Average,3,10294
29-01-2024,3,2,6,3,0,Busy,3,3688
30-01-2024,3,3,7,5,1,Average,4,5201
31-01-2024,6,1,5,4,0,Busy,2,9355
01-02-2024,6,1,5,3,0,Busy,2,3684
02-02-2024,3,3,6,4,1,Happy,4,4000
03-02-2024,0,4,8,5,1,Happy,5,3500
04-02-2024,0,2,8,4,1,Average,3,4966
05-02-2024,3,6,7,3,0,Busy,4,5060
06-02-2024,3,5,6,5,1,Average,3,9642
07-02-2024,6,5,4,7,1,Sad,2,2000
08-02-2024,6,4,4,6,1,Happy,4,1500
09-02-2024,3,3,8,7,0,Sad,1,2841
10-02-2024,0,0,7,2,0,Sad,2,9176
11-02-2024,0,0,6,2,1,Happy,4,6284
12-02-2024,3,1,7,3,1,Average,3,1048
13-02-2024,3,2,8,9,0,Happy,5,9901
14-02-2024,6,0,6,8,1,Average,3,6283
15-02-2024,6,1,6,6,1,Average,3,5164
16-02-2024,3,4,9,3,1,Sad,1,4870
17-02-2024,0,5,9,4,1,Average,3,12692
18-02-2024,0,4,9,5,0,Happy,4,6423
19-02-2024,0,2,7,5,1,Average,3,4120
20-02-2024,3,2,7,5,1,Average,3,6344
21-02-2024,6,1,4,4,1,Busy,4,3847
22-02-2024,6,1,4,2,1,Busy,3,6738
23-02-2024,3,2,6,6,1,Happy,5,985
24-02-2024,0,3,8,8,1,Sad,1,1011
25-02-2024,0,3,6,9,1,Average,4,1989
26-02-2024,3,2,7,9,0,Average,4,11551
27-02-2024,3,4,7,7,0,Sad,1,8515
28-02-2024,6,1,5,7,1,Happy,5,10233
29-02-2024,6,0,6,8,0,Busy,3,5807
01-03-2024,3,2,6,5,1,Happy,4,2630
02-03-2024,0,5,8,5,1,Busy,2,7825
03-03-2024,0,4,8,6,1,Average,2,8787
04-03-2024,3,1,5,6,1,Happy,5,15842
05-03-2024,3,2,5,6,1,Busy,3,7666
06-03-2024,6,1,5,4,1,Happy,4,6050
07-03-2024,6,0,5,3,1,Sad,1,16883
08-03-2024,3,2,9,7,0,Busy,4,4029
09-03-2024,0,4,9,6,0,Average,4,2021
10-03-2024,0,5,8,8,1,Average,3,1062
11-03-2024,3,1,8,8,1,Happy,4,691
12-03-2024,3,2,8,3,1,Sad,3,521
13-03-2024,6,0,8,3,1,Happy,5,456
14-03-2024,6,0,8,4,0,Happy ,5,1698
15-03-2024,3,4,8,5,0,Happy,5,2564
16-03-2024,0,5,8,6,0,Average,4,3654
17-03-2024,0,2,9,6,1,Busy,3,11502
18-03-2024,2,0,9,6,0,Busy,4,7338
19-03-2024,3,6,7,7,0,Average,3,6878
20-03-2024,6,0,7,6,1,Busy,3,1164
21-03-2024,5,4,6,5,0,Average,4,6124
22-03-2024,3,3,5,5,0,Average,5,8505
23-03-2024,0,2,6,4,1,Busy,4,5132
24-03-2024,0,2,5,4,0,Busy,4,2498
25-03-2024,3,2,6,3,0,Sad,4,4213
26-03-2024,6,2,6,5,0,Sad,3,7222
27-03-2024,6,1,5,5,1,Sad,1,468
28-03-2024,3,1,8,5,0,Average,1,1939
29-03-2024,3,1,6,6,0,Average,2,3344
30-03-2024,0,1,6,5,1,Happy,3,2830
31-03-2024,0,3,6,4,0,Happy,5,4025
01-04-2024,3,4,6,4,0,Busy,4,4458
02-04-2024,3,4,5,5,0,Busy,4,4754
03-04-2024,6,1,5,4,0,Busy,5,3201
04-04-2024,6,0,5,5,0,Average,5,10833
05-04-2024,3,2,6,9,1,Busy,3,300
06-04-2024,0,1,6,6,1,Sad,2,8175
07-04-2024,0,1,7,3,1,Happy,3,3215
08-04-2024,3,1,7,7,0,Happy,1,2032
09-04-2024,0,2,6,5,0,Sad,2,3021
10-04-2024,6,3,6,4,0,Sad,5,4757
11-04-2024,6,3,6,3,1,Happy,4,6359
12-04-2024,3,3,7,3,1,Average,4,1325
13-04-2024,0,4,8,2,1,Busy,3,7618
14-04-2024,0,4,8,7,1,Happy,2,1478
15-04-2024,2,1,5,6,1,Average,2,8512
16-04-2024,1,4,5,5,0,Average,4,5612
17-04-2024,2,5,6,6,0,Busy,3,7200
